level,group_key,file_count,bytes,aggregate_sha256,role_counts_json
subtree,collections/fawaz-hadith-api-v1/editions/fra-ibnmajah,8758,14486422,3DE4D41500F9B6C4D176A79373CB2ECC7D18D9FA0C8EBB470C8EC8A26E101C13,"{""generated"": 4379, ""mirror"": 4379}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-ibnmajah.json,1,3407360,A12BFE5F39751E5D1699F0D27D9D3F29B75D8C9163FF8437369A98ABE11662B8,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-ibnmajah.min.json,1,2683231,2EA15D4BF59F40ECFBE6EFC6DB523F143C6059188AB241475AA8500D9BCB967B,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-malik,3840,6731264,B6EA07EFC506BEDAD23C6E6850F7D5079E59432DEEC9E9416E2B3A8475B9FAE8,"{""generated"": 1920, ""mirror"": 1920}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-malik.json,1,1541044,DD5812B9A5D7AF2592963E39A9EA63D6577970234E7E3E584C5734D0FB5108A4,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-malik.min.json,1,1368658,A72B1ADC43D33E7DB09CCD2F27007D454436C99E928C446CB1851CD0BCD967D3,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-muslim,15240,21092280,FFADB5263FDF08F4CEABF9D12A3CAA3026A4453D433CB6C49FACA8B9B1E68AD1,"{""generated"": 7620, ""mirror"": 7620}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-muslim.json,1,4471845,6C3946F854C5A7940F8E51004A35C3E5E35518378098714BFB196F936B038DE2,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-muslim.min.json,1,4040214,6BA82F451C9B004DDD0F61FC80A7E400F3C43D6EAB788B4EB4D7D7A01530BFE4,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nasai,11620,18614120,8A183FE7C0BF9BCBE56775828745A48022E9BA2BE22A61B8526A64F4DEA249A5,"{""generated"": 5810, ""mirror"": 5810}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nasai.json,1,4300574,A0A1A981E4D2573C113B445E075765FBB031D036912F142E73E97E2D820B6D1B,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nasai.min.json,1,3463540,AC885B251BA55E35E870CCDA89DFC98B49651D3AED69DFEAE2E15C85230A7376,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nawawi,88,147113,A46DF6E8AFAD1856EF225326BBCFA95E5B4A65825A8C26CEC969D71F6888ECD2,"{""generated"": 44, ""mirror"": 44}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nawawi.json,1,32637,D90B211C325AC5A6CAB20D5CDBDDBD19021EF474A1C191E922AE01C05AD05D8C,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-nawawi.min.json,1,30114,1F88005C7981BEEDD08938A6487996EB4EC1F72A3140AF1B0A5799FC26BF8095,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-qudsi,84,162055,7EB83D883E2C1E5DAA084D2376C48FC86121CA49E268168690D8D05947399F69,"{""generated"": 42, ""mirror"": 42}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-qudsi.json,1,36856,B30045459B300D41B6CC41547717984A3A203E4F588FF7D056A8F3ADC24EE2EE,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/fra-qudsi.min.json,1,34447,BEEBE5A70491EE3E1C50B1A78D79299A10E77D98268780AFD4402BF94CBF7C26,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-abudawud,10636,24158117,C5E6D8D3928545A98828D161A0485F43FD43436C33641C30312F9FCFBD80D75A,"{""generated"": 5318, ""mirror"": 5318}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-abudawud.json,1,5749464,AA92A7360C1192C1AD738E01B9E02038976737AB34B0EDE0524439CEE55A9BAB,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-abudawud.min.json,1,4893553,A26884A2831980DF8719197F660DC26E8EF08CE1CAA855306BFE4629BE367C8B,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-bukhari,15322,31127422,A440F12F26EEDB0F7EDB4AC8375827293E8B3EA4966106D1921408219D0E8049,"{""generated"": 7661, ""mirror"": 7661}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-bukhari.json,1,6988043,3F0602BC1149013E25B4FC89E17F3907A2937FC478CB7CDE0CEEA722F20AF46D,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-bukhari.min.json,1,6551021,F6333CCEBB787D4D000DD6A6420A453987D76202A3559DE586FFC16510A9599D,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-ibnmajah,8758,18530514,16C47906852F3700C1FD292CF2E0CB822115F29AEB222ACBE4F2B167291FECEF,"{""generated"": 4379, ""mirror"": 4379}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-ibnmajah.json,1,4418383,F5987D9CD61BD7D82E3782D4B2D9BD68B17A973A4F0A49CC6B90D529232D8738,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-ibnmajah.min.json,1,3694254,00652D1469E3AC92EF877AC0BFE098B6DD5B6244EF2AB22688EDB2E9A2B02070,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-malik,3840,5490236,373404DC6B96BBD69B4148E1EA7CD38EFE2819659B187165D394EACA58B6B00C,"{""generated"": 1920, ""mirror"": 1920}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-malik.json,1,1229647,988A2F60B18F36D18E818C0B6F2AB977C24A8D383490F67FAACFF655AF6C7CCF,"{""payload_unselected"": 1}"
